feature,count
use copilot,29
good app,22
use app,21
love copilot,16
thank,16
love app,16
great app,14
answer question,12
ask question,12
like app,10
good ai,9
ruin app,8
generate image,7
delete conversation,7
give5 star,7
delete chat,7
uninstalle app,6
ask copilot,6
break app,6
give answer,6
create image,6
get answer,5
very good app,5
good job,5
like new version,5
bring old version,5
upload image,5
bad update,5
nice app,4
have option,4
open app,4
upload photo,4
give information,4
need improvement,4
great ai,4
love ai,4
good friend,4
like old version,4
like copilot,4
download app,4
make mistake,4
give4 star,4
have trouble,3
provide source,3
use voice,3
have friend,3
use gemini,3
make sense,3
like update,3
drop ball,3
destroy copilot,3
miss feature,3
create new chat,3
lose context,3
cancel subscription,3
update app,3
add feature,3
update,3
keep good work,3
prefer old version,3
solve problem,3
great experience,3
fix issue,3
use microphone,3
enjoy app,3
amazing app,3
bring previous version,3
ruin experience,2
edit,2
make picture,2
amazing application,2
like new ui,2
create new conversation,2
edit question,2
add voice,2
great help,2
game changer,2
delete chat history,2
fix bug,2
remove app,2
use voice mode,2
very nice app,2
ask thing,2
provide solution,2
get response,2
open copilot,2
give accurate answer,2
type question,2
copy text,2
write review,2
answer all question,2
discuss above statement,2
love update,2
see ai,2
take ability,2
way,2
miss cortana voice,2
best ai app,2
voice,2
delete old chat,2
waste money,2
leave feedback,2
make image,2
make time,2
copy own prompt,2
hat,2
have lot,2
miss old version,2
upload file,2
waste time,2
take photo,2
new update,2
store history,2
love new ui,2
use old version,2
love old version,2
want tool,2
provide reference,2
ai,2
remember conversation,2
use voice option,2
have more feature,2
chatgpt,2
delete previous conversation,2
add option,2
example,2
fix problem,2
learn lot,2
speak spanish,2
good application,2
do work,2
give idea,2
give user,2
delete previous chat,2
future,2
good ai app,2
send photo,2
have ability,2
copy question,2
app,2
bring old ui,2
like version,2
get five star,2
delete conversation history,2
use microsoft copilot,2
take time,2
option,2
add ability,2
delete app,2
ad,2
fix thing,2
type query,2
have issue,2
have office,2
good thing,2
use bing,2
have conversation,2
bring feature,2
update review,2
it just1 long list,1
get refund,1
build relationship,1
very smooth butter,1
have own disadvantage,1
recommend one,1
love redesign,1
try gpt4,1
give election information,1
spend couple,1
use software,1
destroy fantastic software,1
start new topic,1
bring old type,1
follow one policy,1
write book,1
access voice feature,1
use time,1
resolve problem,1
make many image,1
get1 star,1
so many change,1
save conversation,1
